MovieID	CategoryGross	Storyline
1	3	An action-packed drama about a Christian high school football coach who uses his undying faith to battle the giants of fear and failure. In six years of coaching, Grant Taylor has never led his Shiloh Eagles to a winning season. After learning that he and his wife Brooke face infertility, Grant discovers that a group of fathers are secretly organizing to have him dismissed as head coach. Devastated by his circumstances, he cries out to God in desperation. When Grant receives a message from an unexpected visitor, he searches for a stronger purpose for his football team. He dares to challenge his players to believe God for the impossible on and off the field. When faced with unbelievable odds, the Eagles must step up to their greatest test of strength and courage. What transpires is a dynamic story of the fight between faith and fear. 
2	4	This holiday comedy is centered around two neighbors in a small New England town who go to war when one of them decides to decorate his house with a so many Christmas lights that they are visible from space. The neighborhood is turned upside down as the families try to discover the true meaning of Christmas. 
3	1	The day after they get the word they'll go home in two weeks, a group of soldiers from Spokane are ambushed in an Iraqi city. Back stateside we follow four of them - a surgeon who saw too much, a teacher who's a single mom and who lost a hand in the ambush, an infantry man whose best friend died that day, and a soldier who keeps reliving the moment he killed a civilian woman. Each of the four has come home changed, each feels dislocation. Group therapy, V.A. services, halting gestures from family and colleagues, and regular flashbacks keep the war front and center in their minds. They're angry, touchy, and explosive: can a warrior find peace back home? 
4	2	This is the story of Doogal, an adorable candy-loving mutt who goes on a mission to save the world. Doogal must prevent the evil sorcerer Zeebad from freezing the earth forever with the power of the three mysterious legendary diamonds. Joining Doogal on his big quest are pals Dylan, a guitar-playing rabbit, Ermintrude, an opera-singing cow, and Brian, a bashful snail. Hopping on a magic train, they travel over ice-capped mountains, navigate fiery pits of lava, and sail across vast oceans on the perilous journey of a lifetime. Along the way, they learn that the most powerful weapon of all is their friendship - which even Zeebad's magic cannot destroy! 
5	5	A drama that focuses on the period in Mary and Joseph's life where they journeyed to Bethlehem for the birth of Jesus.
6	1	A retelling of the events leading up to the crucifixion of Jesus Christ, based on the idea that he was a black man whose death was a racially motivated hate crime.
7	5	In November, 1970, virtually the entire football team and coaches of Marshall University (Huntington, W.V.) die in a plane crash. That spring, led by Nate Ruffin, a player who was ill and missed the fatal flight, students rally to convince the board of governors to play the 1971 season. The college president, Don Dedman, must find a coach, who then must find players. They petition the NCAA to allow freshmen to play, and coach Jack Lengyel motivates and leads young players at the same time that he reexamines the Lombardi creed that winning is the only thing. The father and the fiancée of a player who died find strength to move on. Can Marshall win even one game in 1971? 
8	1	Life in the trenches of that most honorable and frustrating profession...teaching. It's the start of a memorable new year at Harrison High. The self-conscious Mr. Stroope is convinced that his time has come - this year he will be furnished with the golden title of "Teacher of the Year," if only his smarter students would stop using words that he can't understand. Peek into Mr. Lowrey's History class and you'll see that he's struggling to even call himself a teacher. Woefully inept due to a complete lack of experience and social skills, he earnestly stutters his way through class. The only interaction his students offer him is when they steal his chalk. Men aren't much interested in the spunky and officious Coach Webb, but "not all P.E. teachers are gay" and she pines for some romantic company. Her once best friend, the newly appointed assistant principal, Mrs. Reddell, doesn't seem to have time for her either... 
9	1	A well-known actor, who hasn't accepted a role in four years, is considering a project. The cousin of the director drives him to Archie's Ranch Market, in Carson, and drops him off to do a little research. He's fascinated by one of the checkers, Scarlet, a young woman from Spain with a preternatural ability to ring up items at the cash register. She hates her job, stuck at the 10 items or less lane. The actor chats her up, and when her shift ends, he asks for a ride. In the course of the afternoon, he helps her prepare for a job interview. She needs to have confidence, he needs to commit. Human contact, however brief, can change people. 
10	6	The island of Iwo Jima stands between the American military force and the home islands of Japan. Therefore the Imperial Japanese Army is desperate to prevent it from falling into American hands and providing a launching point for an invasion of Japan. General Tadamichi Kuribayashi is given command of the forces on the island and sets out to prepare for the imminent attack. General Kuribayashi, however, does not favor the rigid traditional approach recommended by his subordinates, and resentment and resistance fester among his staff. In the lower echelons, a young soldier, Saigo, a poor baker in civilian life, strives with his friends to survive the harsh regime of the Japanese army itself, all the while knowing that a fierce battle looms. When the American invasion begins, both Kuribayashi and Saigo find strength, honor, courage, and horrors beyond imagination. 
11	1	Small town Tae Kwon Do instructor Fred Simmons relishes the power that comes from being the king of a small kingdom. A former champion, Mr. Simmons fancies himself one in the same as his hero, Chuck "The Truck" Wallace, a B-movie Martial Arts film star. Mr. Simmons openly boasts about his self-proclaimed status as "king of the demo" [Tae Kwon Do demonstration], even though he can't nail one to save his life. His only vulnerability lies in his adoration of his wife Suzie - a weakness that comes bubbling to the surface when Mr. Simmons discovers Suzie has cheated on him with her new boss. When Suzie leaves him, Mr. Simmons finds himself slipping into a crushing downward spiral. He struggles to keep "the power" by abusing anyone who challenges him. After losing students and making a fool out of himself, he finds allies in Julio Chavez, his nine-year-old apprentice, and Henry Harrison, one of... 
12	1	Allegra, an opera-loving writer in New York, eschews commitment, so her girlfriend, Samantha, leaves her. Allegra misses Sam, and resents the accusation that she's afraid to say "I love you," but she's soon involved with two people - Grace and Philip - who, unbeknownst to her, have just broken up with each other. Allegra juggles the two affairs, telling neither about the other; each likes her more and more as her old fears start making her itchy. Things come to a head at an engagement party where Allegra is pinch-hitting as a catering assistant. 
13	2	Grant and Fiona Anderson have been married for forty-four years. Their marriage has been a generally happy and loving one although not perfect due to some indiscretions when Grant was working as a college professor. Fiona has just been admitted to Meadowlake, a long term care facility near their country home in southwestern Ontario, because her recent lapses of memory have been diagnosed as a probable case of Alzheimer's disease. She and Grant made this decision together, although a still lucid Fiona seems to have made peace with the decision and her diagnosis more so than Grant. With respect to the facility, what Grant has the most difficulty with are what he sees as the sadness associated with the facility's second floor - where the more advanced cases are housed - but most specifically the facility's policy of no visitors within the first thirty days of admission to allow the patient to adjust more easily to their new life there... 
14	2	Two plus-sized ladies meet the men of their dreams in the most unexpected of ways.
15	1	"Conversations with God" tells the true story of Neale Donald Walsch that inspired and changed the lives of millions worldwide. The journey begins after he unexpectedly breaks his neck in a car accident and loses his job. Soon after, we witness his transformation from your everyday guy to a homeless bum struggling just to stay alive. Neale's eye-opening roller coaster ride takes us through his emotional battle to get enough food, make friends and regain his life. And just when things seem to be going his way, they get worse. Feeling like a complete failure in all aspects of his life, Neale, full of anger and bitterness asks God a pile of demanding questions. Much to his disbelief, Neale received his answers! The unworldly conversations that follow end up being read by over 7 million people in 36 languages around the world and counting. 
16	8	Jeff is an anguished man, who grieves and misses his young son that was killed by a driver in a car accident. He has become obsessed for revenge against the man and reckless with his wife and daughter. When Dr. Lynn Denlon, who has troubles with her marriage, is abducted by the deranged Jigsaw's apprentice Amanda, she is brought to a gruesome warehouse to keep John Kramer alive in spite of having a terminal brain tumor. Amanda puts a necklace gadget full of explosives around Dr. Lynn's neck connected to John Kramer's life support system, and tells her that if he dies the device will explode. Meanwhile, Jeff is submitted to a sick game of forgiveness with surprising dark consequences. 
17	3	A group of unaccompanied minors bond while snowed in at the midwestern Hoover International Airport during the holiday season and ultimately create a makeshift holiday themselves.
18	1	Faced with the decision of a lifetime, Arvilla Holden hijacks her two best friends and sets off in a vintage '66 Bonneville convertible. 
19	3	After the death of their grandfather Johann von Wolfhause, the brothers Jan and Todd Wolfhouse travel to Munich to fulfill a family tradition, spreading the ashes of Johann during the Oktoberfest. Their contact brings them to a secret beer competition, the Beerfest", where they are offended by Baron Wolfgang von Wolfhausen and the German branch of their family that accuse their great-grandmother of being a prostitute and their grandfather of stealing an old recipe of the best beer in Germany. Jan and Todd returns to USA humiliated and decide to organize a beer team to dispute the next Beerfest. They join Landfill, Barry and Fink and train long the year to participate in the competition. When they find the lost recipe hidden in a dummy, they feel that their German relatives told the truth. But the team is ready for the tough dispute. 
20	2	Innocent lives hang on the whim of an elusive psychopathic murderer whose strange riddles and impossible timelines force three people into a mission to end the game before one or all of them die.
21	4	Tom Dobbs, comedic host of a political talk show - a la Bill Maher and Jon Stewart - runs for President of the US as an independent candidate who, after an issues-oriented campaign and an explosive performance in the final debate, gets just enough votes to win. Trouble is he owes his victory to a computer glitch in the national touch-screen voting system marketed by Delacroy, a private company with a rising stock price. To protect their fortune, Delacroy executives want to keep the glitch a secret, but one programmer, Eleanor Green, wants Dobbs to know the truth. Can she get to him? 
22	2	Jason thought his inheritance was going to be the gift of money and lots of it. Was he ever in for a big surprise. Based on the best-selling book "The Ultimate Gift" by Jim Stovall, the story sends trust fund baby Jason Stevens on an improbable journey of discovery, having to answer the ultimate question: "What is the relationship between wealth and happiness?" Jason had a very simple relationship with his impossibly wealthy Grandfather, Howard "Red" Stevens. He hated him. No heart-to-heart talks, no warm fuzzies, just cold hard cash. So of course he figured that when Red died, the whole "reading of the will" thing would be another simple cash transaction, that his Grandfather's money would allow him to continue living in the lifestyle to which he had become accustomed. But what Red left him was anything but simple. Red instead devised a plan for Jason to experience a crash course on life... 
